time,delay_sec
89.4314,0.0364075
89.4334,0.0334377
89.4343,1.52435
89.4351,0.0150861
89.4355,0.0155032
89.4359,0.0159094
89.4375,0.0324671
89.4384,1.52338
89.4401,0.0151023
89.4405,0.0155195
89.4409,0.0159256
89.4415,0.0314965
89.4424,1.52244
89.4451,0.0150874
89.4455,0.0155047
89.4455,0.0305259
89.4459,0.0159108
89.4465,1.52147
89.4501,0.0151036
89.4505,0.015521
89.4509,0.015927
89.4551,0.0150887
89.4555,0.0155061
89.4559,0.0159122
89.4601,0.015105
89.4605,0.0155224
89.4609,0.0159285
89.4651,0.0150901
89.4655,0.0155076
89.4701,0.0151232
89.4705,0.0155097
89.4709,0.0159468
89.4751,0.0151026
89.4755,0.0154892
89.4759,0.0159263
89.4801,0.0151273
89.4805,0.0155139
89.481,0.015951
89.4851,0.0150898
89.4855,0.0155076
89.4859,0.0159135
89.4901,0.0151145
89.4905,0.0155323
89.4909,0.0159383
89.4951,0.0151081
89.4955,0.0154949
89.4959,0.0159319
89.5001,0.0151243
89.5005,0.0155111
89.5009,0.0159482
89.5051,0.0151094
89.5055,0.0154963
89.5059,0.0159333
89.5101,0.0150945
89.5105,0.0154815
89.5109,0.0159496
89.5151,0.0151107
89.5155,0.0154978
89.5159,0.0159348
89.5201,0.0151043
89.5205,0.0154829
89.521,0.0159595
89.5251,0.0151205
89.5255,0.0154992
89.5259,0.0159446
89.5301,0.0151057
89.5305,0.0154844
89.531,0.0159609
89.5351,0.0151219
89.5355,0.0155007
89.5359,0.0159461
89.5401,0.015107
89.5405,0.0154859
89.541,0.0159623
89.5451,0.0151232
89.5455,0.0155021
89.5459,0.0159475
89.5501,0.0151083
89.5505,0.0154873
89.551,0.0159638
89.5551,0.0151246
89.5555,0.0155036
89.5559,0.0159489
89.5601,0.0151097
89.5605,0.0154888
89.5609,0.0159341
89.5651,0.0151259
89.5655,0.015505
89.5701,0.0151279
89.5705,0.0155383
89.571,0.0159524
89.5751,0.0151073
89.5755,0.0155177
89.5759,0.0159319
89.5801,0.0151009
89.5805,0.0155114
89.5809,0.0159255
89.5851,0.0151256
89.5855,0.0155361
89.586,0.0159503
89.5901,0.0150881
89.5905,0.0154987
89.5909,0.0159128
89.5951,0.0151128
89.5955,0.0155234
89.5959,0.0159375
89.6001,0.0150979
89.6005,0.0155086
89.6009,0.0159227
89.6051,0.0151141
89.6055,0.0155249
89.6059,0.015939
89.6101,0.0150992
89.6105,0.01551
89.6109,0.0159241
89.6151,0.0151155
89.6155,0.0155263
89.6159,0.0159404
89.6201,0.015109
89.6205,0.0155115
89.6209,0.015934
89.6251,0.0151253
89.6255,0.0155278
89.626,0.0159503
89.6301,0.0151104
89.6305,0.0155129
89.6309,0.0159354
89.6351,0.0150955
89.6355,0.0154981
89.636,0.0159517
89.6371,0.0320615
89.6401,0.0151117
89.6405,0.0155144
89.6409,0.0159369
89.6411,0.0311135
89.6451,0.0150968
89.6451,0.0301344
89.6455,0.0154996
89.646,0.0159531
89.6492,0.0291864
89.6501,0.015113
89.6505,0.0155159
89.6509,0.0159383
89.6512,0.0261855
89.6551,0.0150982
89.6552,0.0252375
89.6555,0.015501
89.656,0.0159545
89.6593,0.0242584
89.6601,0.0151144
89.6605,0.0155173
89.6609,0.0159397
89.6633,0.0232793
89.6651,0.0150995
89.6655,0.0155025
89.6673,0.0223313
89.6701,0.0151326
89.6705,0.0155357
89.671,0.0159892
89.6734,0.023374
89.6751,0.0151121
89.6755,0.0155152
89.6759,0.0159375
89.6774,0.0223949
89.6801,0.0151056
89.6805,0.0155088
89.6809,0.0159312
89.6835,0.0234687
89.6851,0.0150992
89.6855,0.0155025
89.6859,0.0159248
89.6875,0.0224896
89.6901,0.0151239
89.6905,0.0155272
89.6909,0.0159495
89.6935,0.0235322
89.6951,0.0150864
89.6955,0.0155208
89.6959,0.015912
89.7001,0.0151026
89.7005,0.0155371
89.7009,0.0159283
89.7051,0.0150877
89.7055,0.0155223
89.7059,0.0159135
89.7101,0.0151039
