time_sec,fading_linear
73.4263,1.22607
73.4364,1.18926
73.4464,1.00423
73.4563,0.965153
73.4663,1.02953
73.4702,1.02422
73.5163,1.01192
73.5664,0.944054
73.5702,0.955927
73.6164,0.795197
73.6264,0.773478
73.6364,0.786424
73.6464,0.717442
73.6564,0.632817
73.6664,0.63865
73.6702,0.647117
73.7163,0.514201
73.7664,0.680224
73.7702,0.71294
73.8164,1.01037
73.8264,0.971254
73.8363,1.00342
73.8463,1.11352
73.8564,1.1034
73.8664,1.06605
73.8702,1.09186
73.9164,1.09696
73.9664,1.01363
73.9702,0.987097
74.0164,0.817571
74.0264,0.792924
74.0364,0.747597
74.0464,0.74797
74.0564,0.780943
74.0664,0.765636
74.0702,0.743758
74.1164,0.675424
74.1663,0.609824
74.1702,0.626034
74.2164,0.886517
74.2264,0.900978
74.2364,0.874701
74.2464,0.964971
74.2564,1.09248
74.2664,1.13966
74.2702,1.14841
74.3164,1.4438
74.3664,1.49986
74.3702,1.50289
74.4164,1.51514
74.4264,1.41609
74.4364,1.31343
74.4464,1.34693
74.4564,1.29266
74.4664,1.1265
74.4702,1.10468
74.5164,1.25053
74.5664,1.26035
74.5702,1.20992
74.6164,1.06686
74.6264,1.10373
74.6364,1.10897
74.6464,1.06885
74.6564,0.994731
74.6664,0.897571
74.6702,0.867692
74.7164,0.635055
74.7664,0.611139
74.7702,0.593451
74.8164,0.820244
74.8264,0.921193
74.8364,0.933517
74.8464,0.951536
74.8564,1.02558
74.8664,1.05773
74.8703,1.06107
74.9164,0.918009
74.9664,0.743877
74.9702,0.7578
75.0164,0.85651
75.0264,0.888768
75.0364,0.789387
75.0464,0.874093
75.0564,1.03344
75.0664,1.00445
75.0702,0.981866
75.1164,1.35351
75.1664,1.5185
75.1702,1.48928
75.2164,1.30633
75.2264,1.3075
75.2364,1.18262
75.2464,1.08485
75.2564,1.13115
75.2664,1.11177
75.2703,1.05825
75.3164,1.00677
75.3664,1.23244
75.3702,1.18685
75.4164,1.09006
75.4264,1.11458
75.4364,1.09213
75.4464,0.93983
75.4564,0.887448
75.4664,0.944589
75.4703,0.939869
75.5164,0.673906
75.5664,0.689054
75.5703,0.681957
75.6164,0.841042
75.6264,0.878941
75.6364,0.932059
75.6464,1.0276
75.6564,1.08698
75.6664,1.07378
75.6702,1.07453
75.7164,1.22128
75.7664,1.19097
75.7703,1.18708
75.8164,1.22423
75.8264,1.23489
75.8364,1.31085
75.8464,1.40554
75.8564,1.44254
75.8664,1.43004
75.8702,1.43668
75.9164,1.41994
75.9664,1.15602
75.9702,1.1343
76.0164,0.820313
76.0264,0.780045
76.0364,0.777698
76.0464,0.67433
76.0564,0.550272
76.0664,0.562297
76.0702,0.583604
76.1164,0.565281
76.1664,0.626137
76.1703,0.675675
76.2164,0.962517
76.2264,1.00589
76.2365,0.968904
76.2464,1.03397
76.2564,1.12841
76.2664,1.15522
76.2702,1.16091
76.3165,1.37857
76.3665,1.42101
76.3703,1.42152
76.4164,1.39663
76.4264,1.30669
76.4364,1.1541
76.4464,1.13309
76.4564,1.14612
76.4664,1.07598
76.4703,1.0501
76.5164,0.914121
76.5665,0.938789
76.5703,0.896556
76.6165,0.904411
76.6264,0.864097
76.6364,0.905114
76.6465,0.964894
76.6565,0.939595
76.6664,0.894915
76.6703,0.90384
76.7164,1.11178
76.7665,1.1241
76.7703,1.11697
76.8164,1.33823
76.8264,1.35838
76.8364,1.35317
76.8464,1.49379
76.8564,1.59186
76.8664,1.50398
76.8702,1.47722
76.9164,1.60912
76.9664,1.36158
76.9703,1.32557
77.0165,1.20042
77.0265,1.21711
77.0365,1.0581
77.0464,1.04955
77.0565,1.17487
77.0665,1.10177
77.0703,1.04261
77.1165,1.02857
77.1665,1.24068
77.1703,1.23287
77.2165,1.19471
77.2265,1.31282
77.2365,1.33679
77.2465,1.27595
77.2565,1.28594
77.2665,1.34164
77.2703,1.35708
77.3165,1.53862
77.3665,1.6729
77.3703,1.66403
77.4165,1.708
77.4265,1.76102
77.4365,1.74394
77.4465,1.66947
77.4565,1.66024
77.4665,1.70869
77.4703,1.72095
77.5165,1.61833
77.5665,1.33292
77.5703,1.28151
77.6165,1.07212
77.6265,1.05154
77.6365,0.929538
77.6465,0.821764
77.6565,0.823653
77.6665,0.786726
77.6703,0.745331
77.7165,0.585771
77.7665,0.79641
77.7703,0.805957
77.8165,0.971497
77.8265,1.00764
77.8365,1.10139
77.8465,1.21089
77.8565,1.29482
77.8665,1.31827
77.8703,1.3094
77.9165,1.30437
77.9665,1.13453
77.9703,1.1293
78.0165,0.872361
78.0265,0.785321
78.0365,0.799645
78.0465,0.825725
78.0565,0.813895
78.0665,0.841236
78.0703,0.865189
78.1165,0.914172
78.1665,0.828646
78.1703,0.817043
78.2165,0.959124
78.2265,1.08103
78.2365,1.07999
78.2465,1.04356
78.2565,1.0785
78.2665,1.12017
78.2703,1.12791
78.3165,1.30012
78.3665,1.43566
78.3703,1.45988
78.4165,1.53904
78.4265,1.55035
78.4365,1.60193
78.4465,1.59825
78.4565,1.50636
78.4665,1.46013
78.4703,1.46753
78.5165,1.29352
78.5665,1.06582
78.5703,1.05694
78.6165,0.931508
78.6265,0.820246
78.6365,0.812644
78.6465,0.8762
78.6565,0.821204
78.6665,0.782645
78.6703,0.813687
78.7165,0.809148
78.7665,0.66203
78.7703,0.63987
78.8165,0.63312
78.8265,0.674492
78.8365,0.561374
78.8465,0.621023
78.8565,0.800871
78.8665,0.805988
78.8703,0.77672
78.9165,0.988375
78.9665,1.06068
78.9703,1.05994
79.0165,1.11365
79.0265,1.08119
79.0365,0.927941
79.0465,0.902238
79.0565,0.998483
79.0665,0.954985
79.0703,0.900997
79.1165,0.804109
79.1665,0.85895
79.1703,0.844718
79.2165,1.08261
79.2265,1.10463
79.2365,1.11401
