time_sec,sinr_db
5.81341,3.9301
5.81458,3.77955
5.81482,5.21157
5.81486,4.50938
5.81514,5.21157
5.86174,9.01655
5.86312,3.90779
5.86461,3.75361
5.86486,5.22328
5.86489,4.52869
5.86669,9.01757
5.86807,3.90551
5.86956,3.75101
5.86981,5.22445
5.86984,4.53061
5.91174,9.02669
5.91312,3.88496
5.91461,3.72749
5.91486,5.23497
5.91489,4.54792
5.96173,9.03679
5.96311,3.86205
5.9646,3.70119
5.96485,5.24664
5.96488,4.56708
5.96672,9.03779
5.9681,3.85976
5.96959,3.69855
5.96984,5.2478
5.96987,4.56899
6.0117,9.04683
6.01202,9.04683
6.01308,3.83908
6.0134,3.83862
6.01457,3.67469
6.01482,5.25829
6.01485,4.58616
6.01514,5.25829
6.06171,9.05684
6.06309,3.81603
6.06457,3.64801
6.06482,5.26992
6.06486,4.60518
6.06672,9.05783
6.0681,3.81373
6.06959,3.64533
6.06984,5.27108
6.06987,4.60708
6.11174,9.06679
6.11312,3.79292
6.11461,3.62113
6.11486,5.28153
6.11489,4.62413
6.16173,9.0767
6.16311,3.76974
6.1646,3.59405
6.16485,5.29313
6.16488,4.643
6.16669,9.07769
6.16807,3.76741
6.16955,3.59134
6.1698,5.29429
6.16983,4.64489
6.21173,9.08657
6.21205,9.08657
6.21311,3.74648
6.21343,3.74601
6.2146,3.56678
6.21485,5.3047
6.21488,4.66181
6.21517,5.3047
6.26171,9.09639
6.26308,3.72315
6.26457,3.53931
6.26482,5.31626
6.26485,4.68054
6.26669,9.09737
6.26807,3.72082
6.26956,3.53655
6.26981,5.31742
6.26984,4.68241
6.31174,9.10616
6.31312,3.69975
6.3146,3.51163
6.31485,5.3278
6.31489,4.69921
6.36173,9.1159
6.36311,3.67628
6.3646,3.48375
6.36485,5.33932
6.36488,4.71781
6.36672,9.11687
6.3681,3.67393
6.36958,3.48095
6.36983,5.34047
6.36986,4.71967
6.41173,9.12558
6.41205,9.12558
6.41311,3.65274
6.41343,3.65226
6.4146,3.45566
6.41485,5.35083
6.41488,4.73635
6.41517,5.35083
6.46174,9.13523
6.46311,3.62912
6.4646,3.42735
6.46485,5.36231
6.46488,4.75481
6.46672,9.13619
6.4681,3.62675
6.46959,3.42451
6.46984,5.36346
6.46987,4.75665
6.51174,9.14483
6.51311,3.60542
6.5146,3.39883
6.51485,5.37378
6.51488,4.77321
6.56173,9.15439
6.56311,3.58166
6.5646,3.3701
6.56485,5.38523
6.56488,4.79154
6.56669,9.15534
6.56806,3.57927
6.56955,3.36721
6.5698,5.38637
6.56983,4.79337
6.61173,9.1639
6.61205,9.1639
6.61311,3.55781
6.61343,3.55733
6.6146,3.34114
6.61485,5.39666
6.61488,4.80981
6.61517,5.39666
6.66174,9.17338
6.66311,3.53389
6.6646,3.31196
6.66485,5.40807
6.66488,4.82801
6.66672,9.17432
6.6681,3.5315
6.66958,3.30903
6.66983,5.40921
6.66986,4.82983
6.71177,9.18281
6.71314,3.5099
6.71463,3.28255
6.71488,5.41947
6.71491,4.84615
6.76176,9.19219
6.76314,3.48582
6.76462,3.25291
6.76487,5.43084
6.76491,4.86422
6.76672,9.19313
6.76809,3.48341
6.76958,3.24993
6.76983,5.43198
6.76986,4.86603
6.81173,9.20154
6.81205,9.20154
6.81311,3.46167
6.81343,3.46119
6.81459,3.22303
6.81484,5.4422
6.81488,4.88223
6.81516,5.4422
6.86174,9.21085
6.86311,3.43744
6.8646,3.19292
6.86485,5.45354
6.86488,4.90018
6.86669,9.21177
6.86806,3.43501
6.86955,3.18989
6.8698,5.45468
6.86983,4.90197
6.91177,9.22011
6.91314,3.41313
6.91463,3.16257
6.91488,5.46487
6.91491,4.91806
6.96176,9.22933
6.96314,3.38875
6.96462,3.13197
6.96487,5.47617
6.9649,4.93589
6.96672,9.23025
6.96809,3.3863
6.96958,3.12889
6.96983,5.4773
6.96986,4.93767
7.01176,9.23851
7.01208,9.23851
7.01314,3.36428
7.01346,3.36379
7.01462,3.10112
7.01487,5.48746
7.0149,4.95365
7.01519,5.48746
7.06173,9.24766
7.06311,3.33973
7.06459,3.07002
7.06484,5.49873
7.06488,4.97135
7.06672,9.24857
7.06809,3.33727
7.06958,3.0669
7.06983,5.49986
7.06986,4.97311
7.11174,9.25676
7.11311,3.3151
7.11459,3.03867
7.11485,5.50998
7.11488,4.98898
7.16176,9.26582
7.16313,3.29039
7.16462,3.00705
7.16487,5.52122
7.1649,5.00656
7.16675,9.26672
7.16812,3.28791
7.1696,3.00387
7.16986,5.52234
7.16989,5.00832
7.21176,9.27484
7.21208,9.27484
7.21314,3.26559
7.21346,3.26509
7.21462,2.97517
7.21487,5.53244
7.2149,5.02408
7.21519,5.53244
7.26177,9.28382
7.26314,3.24071
7.26462,2.94302
7.26487,5.54364
7.2649,5.04154
7.26672,9.28472
7.26809,3.23822
7.26958,2.93979
7.26983,5.54476
7.26986,5.04328
7.31174,9.29277
7.31311,3.21575
7.31459,2.9106
7.31484,5.55482
7.31487,5.05894
7.36176,9.30167
