time_sec,rx_power_watts
20.2449,2.70772e-20
20.2549,2.74412e-20
20.2649,2.49447e-20
20.2696,2.38828e-20
20.3149,2.07207e-20
20.3649,2.38247e-20
20.3696,2.33598e-20
20.4149,2.49627e-20
20.4249,2.66607e-20
20.4349,2.63072e-20
20.4449,2.52223e-20
20.4549,2.5103e-20
20.4649,2.55239e-20
20.4696,2.58918e-20
20.5149,2.70213e-20
20.5649,2.85576e-20
20.5696,2.84572e-20
20.6149,3.35296e-20
20.6249,3.49071e-20
20.6349,3.73478e-20
20.6449,3.87666e-20
20.6549,3.94247e-20
20.6649,4.12759e-20
20.6696,4.23112e-20
20.7149,4.56748e-20
20.7649,4.08168e-20
20.7696,4.00029e-20
20.8149,3.48252e-20
20.8249,3.23241e-20
20.8349,2.89592e-20
20.8449,2.74983e-20
20.8549,2.70856e-20
20.8649,2.40106e-20
20.8696,2.19892e-20
20.9149,1.55242e-20
20.9649,1.48368e-20
20.9696,1.43834e-20
21.0149,1.22085e-20
21.0249,1.24449e-20
21.0349,1.32113e-20
21.0449,1.48794e-20
21.0549,1.65056e-20
21.0649,1.64856e-20
21.0696,1.60401e-20
21.1149,2.19546e-20
21.1649,2.82587e-20
21.1696,2.89463e-20
21.2149,2.89234e-20
21.2249,2.87927e-20
21.2349,3.17885e-20
21.2449,3.10197e-20
21.2549,2.80596e-20
21.2649,3.02495e-20
21.2696,3.22119e-20
21.3149,3.13157e-20
21.3649,2.64258e-20
21.3696,2.64105e-20
21.4149,2.33688e-20
21.4249,2.28169e-20
21.4349,2.16598e-20
21.4449,1.91364e-20
21.4549,1.58491e-20
21.4649,1.51119e-20
21.4696,1.5928e-20
21.5149,1.79199e-20
21.5649,2.08738e-20
21.5696,2.23692e-20
21.6149,2.81913e-20
21.6249,2.84137e-20
21.6349,2.9428e-20
21.6449,3.16739e-20
21.6549,3.16745e-20
21.6649,3.09503e-20
21.6696,3.13162e-20
21.7149,3.16227e-20
21.7649,3.02641e-20
21.7696,3.10657e-20
21.8149,2.93943e-20
21.8249,2.54043e-20
21.8349,2.56748e-20
21.8449,2.82706e-20
21.8549,2.72102e-20
21.8649,2.68969e-20
21.8696,2.81518e-20
21.9149,3.09448e-20
21.9649,3.09791e-20
21.9696,3.14507e-20
22.0149,3.19239e-20
22.0249,2.97917e-20
22.0349,2.65482e-20
22.0449,2.699e-20
22.0549,2.71889e-20
22.0649,2.51303e-20
22.0696,2.43529e-20
22.115,2.47424e-20
22.165,1.99312e-20
22.1696,1.96912e-20
22.2149,2.18155e-20
22.2249,2.16937e-20
22.2349,1.9285e-20
22.2449,1.98011e-20
22.2549,2.13405e-20
22.2649,1.94758e-20
22.2696,1.82607e-20
22.3149,1.78955e-20
22.3649,1.85449e-20
22.3697,1.83784e-20
22.4149,2.1122e-20
22.4249,2.02845e-20
22.4349,2.25636e-20
22.445,2.53305e-20
22.455,2.34894e-20
22.4649,2.16214e-20
22.4696,2.28235e-20
22.5149,3.02324e-20
22.565,3.25945e-20
22.5696,3.24707e-20
22.615,3.67939e-20
22.625,3.78942e-20
22.635,3.86619e-20
22.645,4.07808e-20
22.655,4.09327e-20
22.665,3.94653e-20
22.6696,3.98084e-20
22.7149,4.13384e-20
22.7649,3.77777e-20
22.7696,3.74771e-20
22.815,3.33218e-20
22.825,3.39042e-20
22.8349,2.95735e-20
22.8449,2.7455e-20
22.855,3.10232e-20
22.865,3.2246e-20
22.8696,3.10069e-20
22.915,2.91802e-20
22.965,3.09345e-20
22.9697,3.1574e-20
23.015,3.13352e-20
23.025,3.12979e-20
23.035,3.04881e-20
23.045,3.01286e-20
23.055,3.12274e-20
